BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2016 11:29:37:493 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
93,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",294,0,0,0,98,99,1,76.27551020408163,85.31313131313131,72,1,1,0,1445,4.914965986394558,2439,8.295918367346939,28,0.09523809523809523
94,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",434,0,0,0,98,100,0,82.06122448979592,87.79,0,1,0,0,1624,3.7419354838709675,2507,5.776497695852535,0,0
95,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",313,0,0,0,95,102,1,74.0421052631579,86.73529411764706,5,4,1,0,1464,4.677316293929713,2283,7.293929712460064,1,0.003194888178913738
96,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",267,0,0,0,98,100,0,65.75510204081633,87.59,0,1,0,0,1423,5.329588014981273,2507,9.389513108614231,0,0
97,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",265,0,0,0,94,104,0,77.38297872340425,85.78846153846153,0,5,0,0,1474,5.562264150943396,2743,10.350943396226414,0,0
98,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",300,0,0,0,98,99,1,73.16326530612245,83.23232323232324,115,1,1,0,1539,5.13,2469,8.23,13,0.043333333333333335
99,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",330,0,0,0,97,100,1,78.95876288659794,88.9,182,2,1,0,1598,4.842424242424243,2559,7.754545454545455,17,0.051515151515151514
100,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",455,0,0,0,99,98,1,76.33333333333333,88.63265306122449,124,0,1,0,1500,3.2967032967032965,2579,5.668131868131868,16,0.035164835164835165
101,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",240,0,0,0,97,99,2,76.83505154639175,79.94949494949495,50.5,2,2,0,1603,6.679166666666666,2671,11.129166666666666,37,0.15416666666666667
102,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",272,0,0,0,96,101,1,74.95833333333333,89.74257425742574,108,3,1,0,1544,5.676470588235294,2414,8875,19,0.06985294117647059
103,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",299,0,0,0,99,98,1,76.06060606060606,84.3061224489796,221,0,1,0,1521,5.086956521739131,2467,8.250836120401338,25,0.08361204013377926
104,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",281,0,0,0,99,98,1,75.77777777777777,82.26530612244898,127,0,1,0,1439,5.120996441281139,2289,8.145907473309608,44,0.15658362989323843
105,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",304,0,0,0,99,98,1,83.62626262626263,80.61224489795919,147,0,1,0,1421,4.6743421052631575,2529,8.319078947368421,31,0.10197368421052631
106,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",324,0,0,0,92,106,0,70.78260869565217,93.82075471698113,0,7,0,0,1505,4.645061728395062,2617,8.07716049382716,0,0
107,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",250,0,0,0,97,99,2,71.4020618556701,91.60606060606061,41.5,2,2,0,1625,6.5,2628,10512,6,24
